beatmap_hash,n_replays
a69317bd27a7790a020733ce04cd6c0d,18
dda20feae6f8c14be48fea27d1f88221,18
edd35ab673c5f73029cc8eda6faefe00,18
bc9c0cfebbf3bda3a4ddd1ac614d54ea,18
d1e9c6a236085ad0bf19f99e6c9c01b9,18
841dd8efd08fb35102b05271bc9263ee,18
a30d34b757bc7dcf80fe7366558ba367,18
517f35a3949cc3b2ec788ef317452883,18
e714d7a3188e4a44ed018886cbdc35ad,18
dcd9b4695c0389661c6f03d020ccadfc,18
d0d421dcfa145dcf5e34a49b5c5629af,18
fcf4cca93ae130aa584aac14b99f087d,18
2f1c7b884c584d2281b37b61a2cb5f70,18
02b8f26cc35b6a8efbb3696d3efe19c3,18
c078d74964d1b2a21d4e7decc93a437c,18
75dabfe11d5f4b3b776d5736fc1dfb70,18
2e58c2e5fbbf37a4cf063044cdc9ada1,18
a40289103ad2dc4b8e15321f509a3961,18
b1fab265237db340c861047f10d0183a,18
d1e18d3903d9336050c2cf1b66f331f3,18
18e1cd94cfd54e2b0c287e29aac2a4c7,18
17f1795490627650191ac37a73926dce,18
7aeac19ad4f5115cdcf5c2c8cb03be77,18
a45857dfc1e9ea0800cf824a049b08bf,18
090d0066e841a79935c4a7a2bbe0097b,18
d2b9bff21ac426b78cdf7eb51c4f694a,18
0e5d27ad81067deeacc28977c7cea3cc,18
8ada130bf3589e5c9858b592dde2a39f,17
8bfc41649cbe8b5321a45060ba24ce69,17
21c072868510375276cc96587eefc8c8,17
176a0337b8e21373ab6f4dfca86c050c,17
b688699efce02cac2a1b8146376d23cd,17
e5b67f971ff2767510a3162a3e10c02a,17
42baa19205d623206b790af48d5cbfc9,17
745e75e5f2eaa451756952b1f53d2571,17
ffd9165ced52a6cda7e557e81832daf3,17
df7489e97e2f5e12393b0b06cb9469b1,17
1d25b8af3c1a7db20a24262cd99f2114,17
3b849499c48a0545bd56a93e41cff7c9,17
5b8a08be1c1c5124978af5c63233b914,17
f59d40edbcdf2d8cd63e944976073b80,17
4bdc1ed49b038451f09d60c8e8ec894a,17
5a5f0ba25f3006f7f3812860acfc55db,17
69cda0f92327ab9f443b46c9e204a573,17
44e46744c4557bb2c7cf55e8e757adfc,17
08fa96c6495f54f7fe6ae78874273709,17
1b66ef19a52c320fb31bcec0cd1717cf,17
f76c131f188d9bc1758279775aa76407,17
2d687e5ee79f3862ad0c60651471cdcc,17
b211ea854ad876a6dabdda8b759cd995,17
8217b0fb67389e9a25c6092f42788000,17
2ef240b625261031062448b80786615b,17
6975aec2a818e3b916a9c2bfbbb493d4,17
79b2f8f364ca298531aab6683baa62d9,17
b556d04239ea2133c832cc9bc525e3e5,17
6bac59b483693dd078ec7ee7379bed2b,17
464ed62ddf4a67e170fd42ed21536cc0,17
d53c5651228156963e518ebffb207106,17
e51b8c0a68162523e0ee999b0282944e,17
6b5e29ab8f23c552468e635313468859,17
9e47da6c30f7e8eee6b8db0088c801f0,17
fe87b21ab6a07b8cec04f437d0a86d3e,17
19349b35806e0c039de75d6cf0e4abb9,17
f25364267066fbe73f85e141c3d4e713,17
5f06ff2f71f792351e7a9045652618a3,17
0e12daa987f02e95470355e29e815403,17
b87da587aa6681c3604d291f30f05ec0,17
6c9077015f51f9616987cc7ba2dce9f4,17
b90f92fc53b2b3f7faff4a8a1ea82cee,17
081be8731338c820ad341939f4af9c51,17
08b08a2705c73573926a9f796d8ed452,17
